                    component htbin njetbin mhtbin   xi     n  nvar
   QCD_HT500to700_madgraphMLM   200       2    200 0.35     1     1
   QCD_HT500to700_madgraphMLM   200       2    200  0.4     0     0
   QCD_HT500to700_madgraphMLM   200       2    200 0.45     0     0
   QCD_HT500to700_madgraphMLM   200       2    200  0.5     0     0
   QCD_HT500to700_madgraphMLM   200       2    200 0.55     0     0
   QCD_HT500to700_madgraphMLM   200       2    200  0.6     0     0
   QCD_HT500to700_madgraphMLM   200       2    200  0.7     0     0
   QCD_HT500to700_madgraphMLM   200       2    200 0.75     7     7
   QCD_HT500to700_madgraphMLM   200       2    200  0.8     0     0
   QCD_HT500to700_madgraphMLM   200       2    400    0     0     0
   QCD_HT500to700_madgraphMLM   200       2    400 0.05     0     0
   QCD_HT500to700_madgraphMLM   200       2    400  0.1     0     0
   QCD_HT500to700_madgraphMLM   200       2    400 0.15     0     0
   QCD_HT500to700_madgraphMLM   200       2    400  0.2     0     0
   QCD_HT500to700_madgraphMLM   200       2    400 0.25     0     0
   QCD_HT500to700_madgraphMLM   200       2    400 0.35     0     0
   QCD_HT500to700_madgraphMLM   200       2    400 0.75     0     0
   QCD_HT500to700_madgraphMLM   200       3    130    0   621   621
   QCD_HT500to700_madgraphMLM   200       3    130 0.05   397   397
   QCD_HT500to700_madgraphMLM   200       3    130  0.1   208   208
   QCD_HT500to700_madgraphMLM   200       3    130 0.15   142   142
   QCD_HT500to700_madgraphMLM   200       3    130  0.2    89    89
   QCD_HT500to700_madgraphMLM   200       3    130 0.25    65    65
   QCD_HT500to700_madgraphMLM   200       3    130  0.3    57    57
   QCD_HT500to700_madgraphMLM   200       3    130 0.35    28    28
   QCD_HT500to700_madgraphMLM   200       3    130  0.4    22    22
   QCD_HT500to700_madgraphMLM   200       3    130 0.45    26    26
   QCD_HT500to700_madgraphMLM   200       3    130  0.5    21    21
   QCD_HT500to700_madgraphMLM   200       3    130 0.55    10    10
   QCD_HT500to700_madgraphMLM   200       3    130  0.6     6     6
   QCD_HT500to700_madgraphMLM   200       3    130 0.65     3     3
   QCD_HT500to700_madgraphMLM   200       3    130  0.7     5     5
   QCD_HT500to700_madgraphMLM   200       3    130 0.75     3     3
   QCD_HT500to700_madgraphMLM   200       3    130  0.8     3     3
   QCD_HT500to700_madgraphMLM   200       3    130 0.85     0     0
   QCD_HT500to700_madgraphMLM   200       3    130 0.95     1     1
   QCD_HT500to700_madgraphMLM   200       3    130  1.0     2     2
   QCD_HT500to700_madgraphMLM   200       3    130 1.05     1     1
   QCD_HT500to700_madgraphMLM   200       3    130  1.1     0     0
   QCD_HT500to700_madgraphMLM   200       3    200    0    41    41
   QCD_HT500to700_madgraphMLM   200       3    200 0.05    18    18
   QCD_HT500to700_madgraphMLM   200       3    200  0.1     9     9
   QCD_HT500to700_madgraphMLM   200       3    200 0.15     3     3
   QCD_HT500to700_madgraphMLM   200       3    200  0.2     3     3
   QCD_HT500to700_madgraphMLM   200       3    200 0.25     5     5
   QCD_HT500to700_madgraphMLM   200       3    200  0.3     6     6
